Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
NEO,2019-02-01,6.8525497559,7.0007145559,7.1255463875,6.7220397362
NEO,2019-02-02,6.9114239145,6.8109437673,6.9551600925,6.669797327
NEO,2019-02-03,7.0412899004,6.9114239193,7.1720798201,6.7816970736
NEO,2019-02-04,6.9095552812,7.0408490932,7.1934336918,6.8422498258
NEO,2019-02-05,6.974458429,6.9268758806,7.0661274469,6.8892823797
NEO,2019-02-06,6.9127630195,6.9756725795,7.0318802713,6.855775522
NEO,2019-02-07,6.7887796425,6.9068606506,6.9535596657,6.6345658906
NEO,2019-02-08,6.8400941384,6.7863563711,6.9099371119,6.7449046843
NEO,2019-02-09,7.3637922497,6.8408956886,7.7892376905,6.7633174471
NEO,2019-02-10,7.5200834856,7.4675251598,7.667876849,7.359425882
NEO,2019-02-11,7.7447777015,7.519839783,8.042814113,7.4074125962
NEO,2019-02-12,8.1040394622,7.7454277486,8.2359909321,7.6046343964
NEO,2019-02-13,8.043291976,8.104045135,8.3389085651,7.7956653654
NEO,2019-02-14,8.1445436154,8.094260955,8.3828253657,7.9973183594
NEO,2019-02-15,7.8213727066,8.1445438633,8.169804818,7.6473811137
NEO,2019-02-16,7.9470213146,7.8084843124,8.3220379981,7.7463497549
NEO,2019-02-17,7.8236458187,7.9464485793,8.2032934849,7.7879901467
NEO,2019-02-18,8.2009354868,7.8239924231,8.6467379294,7.7813415684
NEO,2019-02-19,8.6539935517,8.2044596513,8.8516534848,8.067099669
NEO,2019-02-20,8.9541412561,8.7007149626,9.163705048,8.5796330904
NEO,2019-02-21,8.9682467895,8.9534937287,9.099263633,8.6823245165
NEO,2019-02-22,8.4321291123,8.9683280032,9.0801217473,8.3841146532
NEO,2019-02-23,8.624861124,8.4975551139,8.7173323679,8.4544697504
NEO,2019-02-24,9.9453534367,8.6248005449,10.2604254791,8.4499245496
NEO,2019-02-25,9.1272606629,9.9429087935,10.7773303964,8.4995436949
NEO,2019-02-26,9.1431596387,9.1284168025,9.3905351591,8.7222054431
NEO,2019-02-27,8.9937611059,9.1468646644,9.2793392631,8.8042005419
NEO,2019-02-28,8.7678902486,9.0197975682,9.1166672602,8.5181403108
NEO,2019-03-01,8.781768272,8.7678502511,8.9883525748,8.6752377309
NEO,2019-03-02,8.9509473895,8.7816864351,9.2131513563,8.7278448043
NEO,2019-03-03,8.6517599311,8.9509604553,9.0247278316,8.6106381508
NEO,2019-03-04,8.6109941762,8.6668365038,8.779215999,8.6093297524
NEO,2019-03-05,8.112444982,8.6109900887,8.6139385498,7.9235247924
NEO,2019-03-06,8.5992239067,8.1341672612,8.8344908816,8.0451604744
NEO,2019-03-07,8.6690451437,8.5967757878,8.861961786,8.5224119534
NEO,2019-03-08,9.0623297739,8.6690911468,9.1812230642,8.6269481369
NEO,2019-03-09,8.7235509965,9.0623297709,9.1539395751,8.5739397682
NEO,2019-03-10,8.8557482662,8.7009902378,9.0785299891,8.6698771593
NEO,2019-03-11,8.7492989105,8.9067527473,8.9858876377,8.607862618
NEO,2019-03-12,8.6663088246,8.740980911,8.783796406,8.4289412242
NEO,2019-03-13,8.7688250748,8.6663088456,8.8932993797,8.3508348966
NEO,2019-03-14,8.8256405633,8.7688248747,9.1007720419,8.672328543
NEO,2019-03-15,9.132469493,8.8256405633,9.2650091859,8.693702167
NEO,2019-03-16,9.1710283864,9.132448718,9.2588948794,9.0266656413
NEO,2019-03-17,9.3609542095,9.1702803529,9.657498423,9.1434087579
NEO,2019-03-18,9.1069502426,9.3707698033,9.3976536829,9.0805140977
NEO,2019-03-19,9.080170004,9.1068939818,9.2567557039,8.9328599287
NEO,2019-03-20,9.1240395583,9.06327862,9.179005649,8.9243802694
NEO,2019-03-21,9.2635153942,9.123493436,9.2838271746,8.8719026778
NEO,2019-03-22,8.938427987,9.2709553312,9.3411446406,8.6673847994
NEO,2019-03-23,9.1274472849,8.9393565558,9.2120400159,8.8734200935
NEO,2019-03-24,9.2596495376,9.1356187875,9.321729532,9.0858980157
NEO,2019-03-25,9.036194676,9.2596495376,9.3311331486,8.9431905756
NEO,2019-03-26,8.8432854221,9.036194676,9.2332184492,8.6624303053
NEO,2019-03-27,8.7655513786,8.8432854221,8.8852499711,8.5151515164
NEO,2019-03-28,9.2225046906,8.8071268497,9.3154453643,8.7873246682
NEO,2019-03-29,9.153627717,9.2225046906,9.2902785554,9.0792580286
NEO,2019-03-30,9.7660507279,9.153627717,9.840336218,9.1372635503
NEO,2019-03-31,9.8370269007,9.8975620155,10.2249331513,9.6147692898
NEO,2019-04-01,10.0326220118,9.8370269007,10.0748138401,9.6302398397
NEO,2019-04-02,10.0004326083,10.0326220118,10.1082989995,9.8299362625
NEO,2019-04-03,11.4672361549,10.0004326083,11.4672361549,9.9922500692
NEO,2019-04-04,12.4912612442,11.4672361549,13.979113481,11.4119565335
NEO,2019-04-05,12.6065541155,12.1923164338,13.6933069195,11.968897382
NEO,2019-04-06,13.5561098965,12.6065569827,13.7447192213,12.6037453412
NEO,2019-04-07,13.0259629094,13.534867068,13.587701362,12.8197776468
NEO,2019-04-08,12.98387971,13.0259629094,13.2545509798,12.5491094008
NEO,2019-04-09,12.6597279176,12.98387971,13.3228249134,12.0656747897
NEO,2019-04-10,12.1821352049,12.6595963375,12.7028522966,11.8329480159
NEO,2019-04-11,12.4046040538,12.1821352049,12.727240963,12.1090920779
NEO,2019-04-12,11.3141998272,12.4569288202,12.4589275719,10.576822855
NEO,2019-04-13,11.3056222251,11.2092067854,11.5992343767,10.6379660445
NEO,2019-04-14,11.0530574701,11.3056222251,11.3511852691,10.9249394685
NEO,2019-04-15,11.3179749069,11.0488180905,11.3267310336,10.8054476533
NEO,2019-04-16,10.6504995804,11.3032233766,11.4220705222,10.425725013
NEO,2019-04-17,10.8299288574,10.6504995804,11.0946917039,10.5651597597
NEO,2019-04-18,10.9675669334,10.8299288574,11.2071386728,10.7864552469
NEO,2019-04-19,11.2195341851,10.9534898368,11.3854144305,10.9424553198
NEO,2019-04-20,11.0508971862,11.2729994988,11.2745597067,10.8215258638
NEO,2019-04-21,10.8571677302,11.0508971862,11.1541947479,10.8134577749
NEO,2019-04-22,10.5416155163,10.8571677302,11.0070225606,10.1842965878
NEO,2019-04-23,10.882052477,10.5566039608,10.9465090994,10.4620118609
NEO,2019-04-24,10.3917121053,10.882052477,11.1115607135,10.3328485608
NEO,2019-04-25,9.7306900686,10.3917121053,10.4140889112,9.5207328668
NEO,2019-04-26,9.5424912043,9.7306900686,10.3553981834,9.3547308305
NEO,2019-04-27,9.1643587783,9.4700154758,9.5641657148,8.9189012821
NEO,2019-04-28,9.3534853967,9.1643587783,9.4565945579,9.0696062879
NEO,2019-04-29,9.054380727,9.3534853967,9.4636519712,9.0215169444
NEO,2019-04-30,9.1973477899,9.0608233222,9.7521141875,9.0564905567
NEO,2019-05-01,9.5889620273,9.3183726392,9.6022931829,9.2190940005
NEO,2019-05-02,9.556275204,9.5889620273,9.7779932144,9.3656443238
NEO,2019-05-03,9.6732711101,9.6006864799,9.8696154944,9.5186135215
NEO,2019-05-04,9.8344935346,9.6732711101,10.047181792,9.5767452786
NEO,2019-05-05,9.4485641493,9.8000356609,10.0180641452,9.0725685937
NEO,2019-05-06,9.147044372,9.377793634,9.4745101894,9.0833141628
NEO,2019-05-07,9.1518856579,9.147044372,9.2932845347,8.7317542742
NEO,2019-05-08,9.0022722243,9.0607557324,9.3720963374,8.9307982847
NEO,2019-05-09,8.966571941,8.7694149804,8.9785779858,8.5949599875
NEO,2019-05-10,8.5109395587,8.966571941,9.2153045428,8.4279419408
NEO,2019-05-11,8.7841703008,8.5144267827,9.069411675,8.2834174811
NEO,2019-05-12,10.2096802733,8.7347787777,10.2944088243,8.7347760844
NEO,2019-05-13,9.3241804804,9.9067391448,10.1206420159,9.052184092
NEO,2019-05-14,9.7900227961,9.3241804804,10.1205179988,9.2226645402
NEO,2019-05-15,10.9770675553,9.7900227961,11.1156110996,9.5370841389
NEO,2019-05-16,12.6232817776,11.0915163995,12.7590270167,11.0623148575
NEO,2019-05-17,12.0471999137,12.623285516,13.8972234753,11.3754133578
NEO,2019-05-18,11.0234784358,12.0471999137,12.2235711411,10.4349422571
NEO,2019-05-19,10.8552772518,11.0234784358,11.4526876841,10.7432403733
NEO,2019-05-20,11.7283030489,10.7151205848,11.9883645532,10.6994446668
