Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LSK,2019-05-27,2.0563167817,1.989982841,2.1065316488,1.9092907758
LSK,2019-05-28,2.0456473813,2.055983506,2.0943933632,1.9938684581
LSK,2019-05-29,2.1034196958,2.059472546,2.2318643925,2.0581868991
LSK,2019-05-30,2.0761661308,2.1032384322,2.1496268265,1.9717688857
LSK,2019-05-31,1.9424481725,2.1172397337,2.2571245122,1.8639476141
LSK,2019-06-01,2.0433619987,1.9401247334,2.0655016057,1.8936893938
LSK,2019-06-02,2.0957479852,2.0452625569,2.1025952656,1.9408048183
LSK,2019-06-03,2.1233756342,2.0982449959,2.1910785813,0.4217459428
LSK,2019-06-04,2.0657211444,2.1328663694,2.1530378116,0.4583655093
LSK,2019-06-05,1.9192893333,1.9958952291,2.0872207857,1.8675079523
LSK,2019-06-06,1.9718700734,1.914190157,2.0328238925,0.3790177235
LSK,2019-06-07,1.9487402521,1.9635697737,2.01677538,0.3436834366
LSK,2019-06-08,2.123986892,1.9483834865,2.1295303218,0.2591000844
LSK,2019-06-09,2.055671899,2.1241021052,2.1592897928,0.2341197816
LSK,2019-06-10,1.8791416264,2.0635993077,2.0735013034,0.2259730895
LSK,2019-06-11,2.0470619062,1.8826544764,2.0802535176,1.2322523754
LSK,2019-06-12,2.0647420577,2.0625765072,2.1073473939,0.2474214057
LSK,2019-06-13,2.0821161633,2.0609923098,2.10857251,1.6840544924
LSK,2019-06-14,2.0252207284,2.0972985345,2.1181791473,0.2138880161
LSK,2019-06-15,2.0135386275,2.0245449957,2.0565171631,1.7506550803
LSK,2019-06-16,1.9772834153,2.0208641136,2.0572962724,0.2175984886
LSK,2019-06-17,2.1045750167,1.9775085059,2.6411986828,0.380819514
LSK,2019-06-18,2.0919841674,2.1053515828,2.1866767232,2.015168317
LSK,2019-06-19,2.0361704021,2.0862978172,2.1152275951,2.017277025
LSK,2019-06-20,2.0721674101,2.0358285328,2.1101842733,0.3129102564
LSK,2019-06-21,2.0324836131,2.0742671745,2.1010293137,0.5671980497
LSK,2019-06-22,2.0646919811,2.0331959255,2.1124963563,0.5134807687
LSK,2019-06-23,2.0895779145,2.1119227955,2.1616374328,1.9760509021
LSK,2019-06-24,2.0696017388,2.0896215434,2.2548813781,1.4707950899
LSK,2019-06-25,2.0803766294,2.0710216715,2.1480787784,0.3196236542
LSK,2019-06-26,2.0560550692,2.0893456539,2.1086225696,1.9914351818
LSK,2019-06-27,1.9779506992,2.0565745277,2.2067572719,1.8822909929
LSK,2019-06-28,1.83014879,1.9780052383,2.0779278549,1.7388205568
LSK,2019-06-29,1.9067150806,1.8294870922,2.0197389306,1.8049573691
LSK,2019-06-30,1.9028224664,1.9138843396,1.9268633065,1.7793690372
LSK,2019-07-01,1.8050014258,1.9029553211,1.9332994123,1.7537061954
LSK,2019-07-02,1.7534681328,1.8048213145,1.8666004438,1.6921298063
LSK,2019-07-03,1.7815114389,1.753470392,1.7946723446,1.6550575894
LSK,2019-07-04,1.7455892005,1.7785026351,1.8108714923,1.6767103469
LSK,2019-07-05,1.6818318164,1.7455860698,1.8084652953,1.672194679
LSK,2019-07-06,1.6375574905,1.6110104827,1.702489235,1.5902325943
LSK,2019-07-07,1.6792166066,1.6375066139,1.7445962353,1.6241468534
LSK,2019-07-08,1.7068029367,1.6789044274,1.7552304297,1.6675889111
LSK,2019-07-09,1.6810050865,1.7071396732,1.7642818179,1.6530942799
LSK,2019-07-10,1.5992454756,1.6808942207,1.6968174088,1.5575534893
LSK,2019-07-11,1.5245745444,1.6041684801,1.6268169084,1.4226919222
LSK,2019-07-12,1.3974284696,1.5247916705,1.5295548372,1.3564579675
LSK,2019-07-13,1.4657372448,1.3977194943,1.6896913779,1.3809485023
LSK,2019-07-14,1.4145384092,1.4657688421,1.5008011765,1.3873289419
LSK,2019-07-15,1.2880873248,1.4260315338,1.4507050371,1.2684380555
LSK,2019-07-16,1.2847190426,1.2872412176,1.2930879545,1.191886624
LSK,2019-07-17,1.0701311456,1.2846173653,1.2953968124,1.0597385588
LSK,2019-07-18,1.2308780058,1.0706845265,1.319846788,1.051314399
LSK,2019-07-19,1.2973119384,1.2231413232,1.3269806102,1.1893996125
LSK,2019-07-20,1.3090658051,1.2973088712,1.3179989472,1.2456150878
LSK,2019-07-21,1.5204739168,1.3179366783,1.5591021909,1.3084544114
LSK,2019-07-22,1.4773172696,1.5199173195,1.5471521599,1.4214485597
LSK,2019-07-23,1.5050366122,1.4772505561,1.5749154499,1.4341668252
LSK,2019-07-24,1.6872303595,1.5050275978,1.768087239,1.4979728366
